BAIRRO,População segundo o Censo de 2010,Densidade Populacional Bruta hab/ha,Latitude,Longitude,área,Área verde,% Branca,% Preta,% Amarela,% Parda,% Indígena,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 49 anos,50 a 64 anos,acima de 65 anos,"População acima de 15 anos não alfabetizada (%)",Total de domicílios,Total de domicílios próprios,Total de domicílios alugados,Total de domicílios cedidos,Rendimento médio,Prefeitura bairro,Acumulado de chuva 2023 (mm),Acumulado de chuva 2022 (mm),Acumulado de chuva 2021 (mm),Acumulado de chuva 2020 (mm),Acumulado de chuva 2019 (mm),Rendimento médio atualizado
Aeroporto,0,0.0,-12.915556,-38.327222,10116033.63,1384198.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0
Itaigara,10874,87.06,-12.9918874,-38.4659443,1249014.17,94745.41,64.62,4.45,0.75,30.03,0.14,2.97,3.57,4.27,6.52,47.69,22.57,12.41,0.54,3537,82.17,17.32,0.46,10479.3,6,0.0,0.0,0.0,0.0,0.0,19864.68263988
Resgate,6708,151.42,-12.9616245,-38.4638779,442998.05,104194.79,27.28,18.43,1.58,52.34,0.37,4.96,4.14,5.08,6.32,53.62,17.2,8.66,0.59,2296,76.31,21.65,1.92,3309.9,8,0.0,0.0,0.0,0.0,0.0,6274.28483484
Santo Agostinho,4796,221.93,-12.9742316,-38.4974353,216063.1,32792.63,36.7,14.05,1.21,47.69,0.35,3.42,4.36,5.44,6.69,50.35,17.76,11.97,0.65,1580,72.03,24.62,2.97,3236.6,1,0.0,0.0,0.0,0.0,0.0,6135.33650456
Pituba,65160,146.62,-12.9992595,-38.4554978,4427347.74,695323.55,55.5,6.38,1.09,36.75,0.26,4.0,3.81,4.49,6.55,51.21,18.51,11.4,0.66,23397,76.64,20.75,2.44,7513.1,6,143.4,1039.8,475.4,1584.8,0.0,14241.91951196
Caminho das Árvores,12323,60.25,-12.9824528,-38.4583033,2045234.44,1319.0,60.76,6.34,1.01,31.69,0.2,4.15,4.24,4.54,5.91,51.76,20.13,9.27,0.67,4219,81.61,16.94,1.36,9176.0,6,0.0,0.0,0.0,0.0,0.0,17394.1320416
Vila Laura,14524,173.48,-12.9707211,-38.4882326,837248.66,91034.64,37.04,12.83,1.07,48.76,0.28,5.06,4.87,6.18,6.87,53.25,16.0,7.77,0.7,4871,78.55,18.88,2.17,4430.9,1,0.0,0.0,0.0,0.0,0.0,8399.26543844
Patamares,6156,13.33,-12.9469192,-38.4018961,4620839.1,2770116.86,51.84,8.92,0.89,38.0,0.36,5.28,5.26,6.32,5.93,53.31,18.68,5.21,0.72,1902,85.54,12.09,1.95,12294.3,4,0.0,0.0,0.0,0.0,0.0,23305.21769388
Stella Maris,20641,36.69,-12.9377602,-38.3346758,5466612.19,135386.56,45.11,10.02,1.16,43.3,0.38,5.03,5.26,5.98,6.42,53.33,17.45,6.53,0.74,6904,73.9,24.04,1.93,6691.2,4,0.0,0.0,0.0,0.0,0.0,12683.91633792
Vitória,5225,167.25,-12.9929784,-38.5263187,318017.04,108645.37,62.33,6.95,1.0,29.47,0.25,2.74,2.76,3.56,5.47,45.03,21.13,19.31,0.74,1914,78.83,17.86,3.1,10135.2,6,0.0,0.0,0.0,0.0,0.0,19212.402688320002
Amaralina,4125,85.96,-13.009722,-38.479722,476212.57,4256.68,38.35,8.61,0.92,51.95,0.17,3.22,2.88,3.83,5.55,52.34,19.95,12.22,0.78,1674,68.22,29.06,2.66,3591.9,6,0.0,0.0,0.0,0.0,0.0,6808.84730604
Rio Vermelho,18334,106.06,-13.0100607,-38.4899605,1698500.6,74237.41,43.51,15.28,1.25,39.57,0.32,3.89,3.94,4.41,6.22,53.36,18.16,9.94,0.95,6866,73.9,23.62,2.2,6282.2,6,0.0,0.0,0.0,0.0,0.0,11908.61119352
Graça,18454,214.01,-12.9994381,-38.5226463,860300.82,76080.36,61.11,6.67,0.85,31.15,0.22,3.12,2.99,3.64,5.58,47.01,19.64,18.02,0.98,6663,77.89,19.34,2.45,7772.1,6,0.0,0.0,0.0,0.0,0.0,14732.88291636
STIEP,13646,109.58,-12.9804811,-38.4465942,1245349.61,67889.0,41.43,10.0,1.09,47.14,0.31,5.38,4.39,4.88,6.31,56.49,15.09,7.46,0.99,4722,78.71,19.34,1.72,5360.1,6,228.2,879.4,680.6,0.0,0.0,10160.667737160002
Cabula VI,9364,142.68,-12.955,-38.4475,656330.69,120637.66,23.63,18.13,1.47,56.55,0.21,5.01,4.59,5.55,6.49,55.3,16.47,6.59,1.01,3776,67.68,30.57,1.59,1906.0,8,0.0,0.0,0.0,0.0,0.0,3613.0357096000002
Roma,3636,134.72,-12.9349632,-38.5038883,269899.7,2085.38,28.85,15.62,0.47,54.98,0.08,4.4,5.34,5.64,6.52,49.01,16.78,12.32,1.01,1100,71.49,25.57,2.66,2728.2,5,0.0,0.0,0.0,0.0,0.0,5171.60756712
Jardim Armação,3025,29.3,-12.9862102,-38.438865,1029004.63,777.0,45.36,10.98,1.12,42.35,0.2,4.53,4.73,4.6,5.92,55.64,17.82,6.78,1.07,1168,68.77,26.66,3.71,5964.9,6,0.0,0.0,0.0,0.0,0.0,11307.13363284
Barra,17298,128.86,-13.002778,-38.533056,1351676.81,147136.55,54.66,10.76,0.72,33.53,0.34,3.2,2.94,3.61,4.7,47.8,18.94,18.82,1.12,6875,70.96,26.13,2.7,6585.3,6,0.0,0.0,0.0,0.0,0.0,12483.17106948
Imbuí,26540,111.74,-12.9697591,-38.4350431,2500950.25,700504.19,35.31,12.94,1.34,50.16,0.26,5.21,4.43,5.41,6.52,53.9,17.28,7.25,1.15,9168,76.07,21.77,1.93,4352.8,4,0.0,0.0,0.0,0.0,0.0,8251.218172480001
Piatã,11441,18.44,-12.9483348,-38.3873458,6180699.47,1503927.79,47.42,10.63,0.83,40.86,0.26,4.34,4.7,5.8,6.64,48.98,21.34,8.19,1.22,3333,84.9,13.27,1.67,8641.3,4,1054.6,763.6,0.0,1584.8,0.0,16380.54851908
Cabula,23869,69.41,-12.9625,-38.479167,3438812.2,1434184.35,24.62,20.18,1.69,53.11,0.4,4.85,5.4,6.27,6.9,56.64,14.11,5.83,1.26,8173,76.28,20.44,3.16,2772.7,8,908.9,902.6,711.5,0.0,844.4,5255.96228332
Trobogy,7158,19.8,-12.9329398,-38.4008646,3614307.85,2128170.85,26.59,20.26,1.3,51.72,0.13,5.85,6.22,7.17,7.39,56.72,13.09,3.55,1.31,2589,71.36,26.71,1.82,2477.2,9,0.0,0.0,0.0,0.0,0.0,4695.80905552
Boa Vista de Brotas,2964,140.08,-12.97813,-38.50532,211564.25,16730.96,25.24,23.01,1.69,49.8,0.27,4.59,4.59,6.11,6.28,50.3,16.26,11.88,1.35,1060,71.7,24.06,3.96,2167.9,1,0.0,0.0,0.0,0.0,0.0,4109.496387640001
Saboeiro,6682,65.63,-12.9583033,-38.4476669,1018191.49,516187.56,25.82,20.64,1.26,51.75,0.54,4.7,5.01,6.38,6.75,54.09,16.6,6.48,1.43,2307,71.99,24.54,2.99,2672.5,8,0.0,0.0,0.0,0.0,0.0,5066.022001
Barris,4845,108.73,-12.986667,-38.513611,445585.6,18260.24,35.46,16.31,0.8,47.18,0.25,3.88,3.74,5.18,7.22,50.18,16.92,12.88,1.44,1765,66.53,30.88,2.11,3226.8,1,0.0,0.0,0.0,0.0,0.0,6116.759510880001
Canela,5339,146.07,-12.9929978,-38.5210151,365505.45,42373.07,57.22,8.09,0.84,33.55,0.3,2.75,3.03,3.22,5.84,46.32,18.51,20.32,1.46,2010,74.13,24.08,1.69,6987.4,6,0.0,0.0,0.0,0.0,0.0,13245.39649384
Tororó,4717,107.35,-12.9846057,-38.5092005,439406.93,21958.91,24.99,26.03,1.17,47.76,0.04,4.6,5.17,6.19,7.65,52.87,14.44,9.07,1.49,1612,62.75,35.21,1.77,2382.1,1,0.0,0.0,0.0,0.0,0.0,4515.53639236
Ondina,14422,74.42,-13.010398,-38.511699,2070992.2,443749.56,48.03,14.05,0.82,36.76,0.35,4.51,4.37,5.21,6.18,49.5,18.3,11.92,1.52,7430,77.01,20.81,2.01,7614.9,6,896.3,1031.6,614.4,1584.8,0.0,14434.89277284
Vale dos Lagos,12860,123.46,-12.9329123,-38.4226092,1041599.3,335032.84,22.47,22.08,1.27,53.6,0.24,6.27,5.96,7.19,7.19,58.34,11.45,3.24,1.56,4557,79.76,18.16,1.51,2246.1,9,0.0,0.0,0.0,0.0,0.0,4257.73321476
Jardim das Margaridas,4592,19.76,-12.8989638,-38.3580566,2324426.4,1018173.14,24.76,18.75,1.09,55.36,0.04,6.27,6.32,7.21,8.36,51.26,14.33,6.25,1.68,1486,89.56,8.15,2.07,2471.3,4,0.0,0.0,0.0,0.0,0.0,4684.62494708
Costa Azul,20204,193.73,-12.9932632,-38.4448701,1045774.57,177.0,43.62,12.62,0.82,42.7,0.24,4.81,4.59,5.25,7.06,52.43,18.03,7.84,1.74,7111,76.05,21.29,2.22,5738.0,6,0.0,0.0,0.0,0.0,0.0,10877.0193608
Doron,8742,255.54,-12.9570121,-38.444253,342112.91,92258.56,20.86,23.43,0.84,54.39,0.35,5.67,5.75,5.81,6.49,56.91,14.65,4.72,1.77,2725,68.99,28.62,2.39,1760.0,8,938.2,966.0,0.0,0.0,0.0,3336.276416
Fazenda Grande III,7464,90.13,-12.8916116,-38.3938909,828139.54,350433.03,15.33,27.8,0.76,55.84,0.27,6.22,6.79,7.98,7.97,51.81,14.82,4.41,1.78,2308,84.84,12.95,1.95,1232.6,3,0.0,0.0,0.0,0.0,0.0,2336.5308581599998
Cajazeiras II,1137,22.2,-12.9581223,-38.4941411,512066.92,369536.09,14.86,27.44,0.7,56.82,0.18,6.33,5.28,7.12,7.21,53.39,16.01,4.66,1.84,380,86.58,11.84,1.32,1404.2,3,0.0,0.0,0.0,0.0,0.0,2661.8178087200004
Barbalho,9227,176.26,-12.964167,-38.504167,523485.78,27528.81,28.08,16.92,1.09,53.53,0.38,4.79,4.84,5.84,7.24,49.76,16.44,11.09,1.88,2974,69.16,27.14,2.85,2544.4,1,572.8,797.8,0.0,0.0,0.0,4823.194155040001
Candeal,13553,214.01,-12.9945748,-38.4813605,664311.8,103330.95,41.2,18.53,1.07,38.96,0.24,5.96,5.84,6.05,6.77,52.84,15.66,6.89,1.9,4542,79.95,18.14,1.69,7392.8,1,0.0,0.0,0.0,0.0,0.0,14013.877436480001
Nazaré,12571,112.86,-12.9784418,-38.5076399,1113909.2,34002.12,33.34,17.62,1.65,47.14,0.25,3.97,4.41,5.49,6.98,50.62,16.04,12.49,1.9,4332,60.57,34.66,3.16,2989.3,1,0.0,0.0,0.0,0.0,0.0,5666.55175588
Garcia,14180,178.88,-12.9924205,-38.5125908,792753.76,30236.43,25.13,27.67,1.38,45.16,0.66,3.67,4.57,6.52,7.31,50.85,16.18,10.88,1.92,4793,69.97,26.01,3.41,3123.2,1,0.0,0.0,0.0,0.0,0.0,5920.37414912
Boca da Mata,8068,56.27,-12.8886,-38.3988,1433718.43,672354.47,13.37,30.8,1.77,53.68,0.37,6.43,7.55,8.64,7.97,52.68,13.16,3.57,1.95,2531,86.22,11.35,2.06,1298.1,3,0.0,0.0,0.0,0.0,0.0,2460.69341796
Cajazeiras V,5422,83.51,-12.9581223,-38.4941411,649271.82,265250.1,14.48,29.82,0.85,54.59,0.26,5.98,6.93,8.12,7.95,50.74,14.29,5.99,2.06,1685,80.21,16.87,2.8,1298.2,3,0.0,0.0,0.0,0.0,0.0,2460.88297912
Cajazeiras X,8513,126.19,-12.8928614,-38.4114996,674643.98,250964.84,14.99,29.63,1.88,53.46,0.05,6.12,6.37,7.2,8.09,50.42,16.65,5.16,2.12,2650,79.75,17.98,1.89,1113.5,3,0.0,0.0,0.0,0.0,0.0,2110.7635166
Federação,36362,169.09,-12.9952959,-38.5070634,2150569.8,215517.11,19.5,31.59,0.64,47.99,0.28,4.93,5.47,6.43,7.24,54.35,13.74,7.84,2.16,12568,72.11,24.92,2.72,2276.3,6,852.9,0.0,0.0,0.0,922.1,4314.9806850800005
Saúde,6232,219.36,-12.9725454,-38.506182,284115.0,5559.5,32.72,19.98,0.72,46.26,0.32,3.9,3.79,5.44,6.59,48.38,17.94,13.96,2.18,2309,58.52,37.95,2.71,2556.6,1,0.0,0.0,0.0,0.0,0.0,4846.32061656
Santa Mônica,7389,231.48,-12.94875,-38.4840299,319205.52,10415.52,17.54,23.16,0.7,58.21,0.39,5.43,6.06,7.31,7.4,53.24,13.37,7.19,2.25,2452,74.4,23.19,2.21,1687.0,7,0.0,0.0,0.0,0.0,0.0,3197.8967692
Bonfim,9446,104.89,-12.925833,-38.5125,900671.82,4286.81,29.65,15.24,1.51,53.41,0.18,4.53,4.92,6.31,6.88,47.59,16.15,13.61,2.31,2979,70.4,26.56,2.6,2948.5,5,0.0,0.0,0.0,0.0,0.0,5589.2108026000005
Brotas,61970,149.6,-12.9668,-38.5077,5038451.82,738657.25,27.62,20.61,1.04,50.38,0.35,5.11,5.37,6.2,7.15,52.99,14.88,8.3,2.35,23564,76.72,20.59,2.29,3286.8,1,883.6,1057.6,145.4,0.0,0.0,6230.4962068800005
Acupe,11213,218.79,-12.994444,-38.494167,512476.74,62462.07,26.32,24.12,1.41,47.85,0.3,5.49,5.84,6.39,7.12,52.04,15.35,7.77,2.37,3788,78.15,19.55,2.0,2885.7,1,0.0,0.0,0.0,0.0,0.0,5470.1663941199995
Lapinha,5004,153.5,-12.9553714,-38.499149,326007.58,37400.34,23.98,22.68,1.08,51.88,0.38,5.12,5.32,6.24,6.59,49.24,16.79,10.71,2.37,1622,62.83,33.93,1.65,2067.2,7,837.6,1101.4,0.0,1761.9,0.0,3918.60829952
Centro,9304,150.26,-12.986648,-38.5201085,853833.21,26627.7,36.61,17.2,1.27,44.25,0.66,3.18,3.44,4.41,7.18,50.67,16.99,14.13,2.46,6538,56.44,38.98,4.24,3264.7,1,1122.6,1168.0,284.2,0.0,514.6,6188.60319052
Caminho de Areia,12318,331.66,-12.9306224,-38.5045481,371450.49,0.0,20.97,22.54,0.88,55.03,0.58,5.26,5.97,6.85,6.86,49.55,15.56,9.95,2.5,3864,74.62,23.1,2.05,1551.9,5,0.0,0.0,0.0,0.0,0.0,2941.7996420400004
Ribeira,19578,228.5,-12.9160012,-38.4969272,852102.46,2876.24,16.98,23.34,1.15,58.31,0.22,4.95,5.65,7.12,7.81,50.53,14.79,9.14,2.51,6011,73.99,22.84,2.52,1634.0,5,0.0,0.0,0.0,0.0,0.0,3097.4293544
Matatu,10542,160.51,-12.9721615,-38.4941016,656758.31,75296.75,26.26,21.23,1.09,50.87,0.55,4.52,5.6,6.3,6.94,51.57,15.2,9.87,2.56,3494,72.97,23.48,3.35,2560.1,1,260.3,1088.1,624.1,1704.3,0.0,4852.95525716
Fazenda Grande IV,4774,43.2,-12.8916116,-38.3938909,1105246.6,599234.13,11.98,33.56,1.55,51.89,1.03,7.08,7.71,8.69,9.03,52.58,11.69,3.23,2.57,1422,84.68,12.43,2.82,1047.5,3,0.0,0.0,0.0,0.0,0.0,1985.653151
Liberdade,41802,344.79,-12.946662,-38.4939829,1212451.45,23639.7,12.99,32.9,1.32,52.51,0.28,5.17,5.83,7.17,7.57,50.75,15.09,8.43,2.63,13001,72.54,23.97,3.31,1237.4,7,823.0,0.0,298.0,1761.9,0.0,2345.6297938400003
Monte Serrat,6590,157.66,-12.9285763,-38.5135946,418318.59,20799.48,24.95,21.12,0.61,53.0,0.32,4.84,5.25,6.92,7.54,48.57,16.18,10.7,2.65,2048,74.99,22.27,2.59,2417.0,5,1084.3,901.8,607.1,1600.0,632.8,4581.6932372
Santo Antônio,4170,126.4,-12.9649736,-38.5041867,329881.79,14013.63,27.07,20.55,0.79,50.86,0.72,4.1,5.61,6.47,7.12,49.33,16.28,11.08,2.69,1368,67.35,26.92,4.37,1744.6,1,0.0,0.0,0.0,0.0,0.0,3307.08399736
Baixa de Quintas,2135,86.54,-12.9637829,-38.4906761,246701.31,7590.65,16.63,28.34,1.41,53.63,0.0,5.81,7.17,7.21,7.54,52.37,13.07,6.84,2.7,712,71.07,25.84,3.09,1439.9,7,0.0,0.0,0.0,0.0,0.0,2729.49114284
Caixa D´Água,22446,279.53,-12.9581223,-38.4941411,803049.02,22934.95,15.58,29.14,1.26,53.74,0.29,5.04,5.71,6.97,7.68,51.53,14.86,8.21,2.7,7109,72.5,24.22,2.76,1534.7,7,0.0,0.0,0.0,0.0,0.0,2909.19512252
São Rafael,25790,135.44,-12.9366815,-38.4245897,1904203.49,455535.84,22.23,24.78,1.78,50.97,0.24,5.75,6.01,7.14,7.98,56.0,13.85,3.28,2.73,8974,74.36,23.35,1.93,2067.0,9,862.0,0.0,0.0,1584.8,0.0,3918.2291772000003
Luiz Anselmo,11503,119.96,-12.9757196,-38.4855604,958926.17,150649.67,20.69,27.59,1.23,50.19,0.29,6.09,6.1,7.2,8.09,53.14,13.25,6.13,2.77,3783,75.74,20.29,3.26,2185.9,1,0.0,0.0,0.0,0.0,0.0,4143.61739644
Vila Ruy Barbosa\Jardim Cruzeiro,19448,462.61,-12.9316013,-38.4994948,420421.51,0.0,13.96,27.1,0.92,57.87,0.15,5.08,6.08,7.48,7.77,51.17,14.37,8.05,2.78,6071,77.3,20.27,2.2,1235.6,5,0.0,0.0,0.0,0.0,0.0,2342.21769296
Pau Miúdo,20740,294.43,-12.9599036,-38.480808,704384.58,15897.08,13.39,30.83,1.36,53.95,0.47,5.54,6.67,7.53,7.94,51.49,13.64,7.19,2.91,6590,73.02,24.21,2.52,1215.6,7,0.0,0.0,0.0,0.0,0.0,2304.30546096
Mares,2359,89.05,-12.9419032,-38.5011006,264941.18,9.0,22.72,19.88,1.44,55.96,0.0,5.17,5.09,7.5,7.46,48.58,16.32,9.88,2.94,769,67.07,29.14,3.34,2037.3,5,0.0,0.0,0.0,0.0,0.0,3861.9295126800002
Cidade Nova,18722,315.34,-12.9639484,-38.4849824,593734.75,5473.35,14.33,30.47,1.27,53.34,0.59,5.79,6.18,7.53,7.9,51.28,14.0,7.32,2.95,5945,72.79,23.01,3.87,1284.8,7,0.0,0.0,0.0,0.0,0.0,2435.48178368
Engenho Velho de Brotas,25703,273.52,-12.9879097,-38.5018444,939674.81,59087.57,14.08,36.37,0.93,48.34,0.28,5.27,5.72,7.59,7.54,52.48,13.82,7.58,2.95,8434,73.26,23.61,2.63,1509.8,1,1003.6,1119.0,0.0,0.0,0.0,2861.99439368
Mussurunga,30838,62.97,-12.9161292,-38.3750491,4897324.34,1969355.34,15.81,27.39,1.79,54.66,0.35,6.26,6.55,7.8,8.03,51.31,14.1,5.96,3.04,9508,81.43,15.74,2.66,1321.3,4,1080.8,894.8,795.8,1586.8,501.0,2504.67160708
Fazenda Grande II,18159,85.74,-12.8916116,-38.3938909,2117987.92,865731.26,13.44,31.97,1.09,53.21,0.29,6.89,7.35,8.59,8.4,52.54,12.57,3.67,3.05,5936,79.16,17.35,3.12,1307.9,3,0.0,0.0,0.0,0.0,0.0,2479.2704116400005
Itapuã,66961,67.85,-12.942418,-38.35874,9879454.09,651046.32,20.65,27.25,1.14,50.72,0.24,5.91,6.35,7.2,7.75,53.28,13.91,5.6,3.11,21595,69.41,27.18,3.23,2382.2,4,1051.8,0.0,0.0,0.0,0.0,4515.72595352
Massaranduba,20160,380.31,-12.9280617,-38.4965471,531599.12,323.5,12.86,28.94,0.71,57.12,0.37,5.98,6.62,8.39,8.19,50.62,13.45,6.76,3.11,6146,77.78,16.53,5.51,1076.8,5,0.0,0.0,0.0,0.0,0.0,2041.19457088
Fazenda Grande I,11459,93.06,-12.8982735,-38.4050716,1231363.59,389618.55,14.69,32.52,1.57,51.01,0.21,6.54,6.61,8.56,8.63,51.5,14.21,3.95,3.32,3516,79.5,16.71,3.42,1218.9,3,0.0,0.0,0.0,0.0,0.0,2310.56097924
Vila Canária,11218,125.05,-12.9125604,-38.4438483,897110.04,164971.94,13.45,30.5,1.68,53.9,0.45,6.98,7.54,7.75,8.31,54.15,11.74,3.54,3.41,3667,80.63,16.51,2.67,1063.1,9,0.0,0.0,0.0,0.0,0.0,2015.22469196
São Caetano,51159,302.13,-12.9327242,-38.4810964,1693338.82,24710.21,13.83,28.55,1.48,55.82,0.32,6.07,6.65,7.96,8.29,52.13,12.54,6.37,3.47,16431,73.39,22.93,3.4,1139.4,7,976.1,0.0,0.0,1584.8,386.4,2159.8598570400004
Pituaçu,14881,24.74,-12.9651749,-38.4143371,5893615.65,2460532.33,21.09,28.47,1.12,48.94,0.38,6.2,6.58,7.86,7.57,55.7,12.46,3.64,3.5,4801,68.5,26.11,2.25,1874.7,4,861.0,0.0,0.0,1584.8,789.2,3553.70306652
Curuzu,16681,432.71,-12.9457424,-38.4867286,385502.49,24.0,12.23,38.76,1.26,47.62,0.12,6.01,7.08,8.22,8.02,50.88,13.13,6.65,3.53,5202,73.11,24.25,2.6,1033.0,7,0.0,0.0,0.0,0.0,0.0,1958.1667828
Cajazeiras VIII,13013,102.34,-12.9581223,-38.4941411,1271470.59,297275.98,11.0,32.82,1.1,55.0,0.08,8.03,8.15,9.93,7.97,51.34,11.34,3.24,3.56,4205,84.45,11.69,3.43,960.3,3,995.0,934.6,0.0,0.0,0.0,1820.35581948
Praia Grande,6091,154.24,-12.8730561,-38.475688,394860.12,24749.62,14.4,28.4,1.51,55.57,0.11,7.83,8.01,7.39,6.21,51.35,12.41,6.8,3.6,1921,80.6,17.75,1.43,1265.4,2,0.0,0.0,0.0,0.0,0.0,2398.7069186400004
Alto das Pombas,3823,285.3,-12.999722,-38.516389,133995.77,2188.99,8.84,43.5,0.92,46.56,0.18,5.31,6.43,7.25,7.74,53.31,13.24,6.72,3.62,1235,75.79,23.16,0.89,1048.7,6,0.0,0.0,0.0,0.0,0.0,1987.9278849200002
Nordeste de Amaralina,21887,340.55,-13.0098052,-38.473546,642744.89,12441.2,14.62,34.35,1.42,49.13,0.48,5.69,5.94,7.3,7.78,52.25,13.51,7.52,3.64,6850,75.36,20.48,3.38,1530.1,6,0.0,0.0,0.0,0.0,0.0,2900.47530916
Pernambués,64983,204.79,-12.9699369,-38.4661334,3173101.52,269374.36,15.97,27.77,1.35,54.69,0.23,5.98,6.43,7.69,7.95,55.5,11.41,5.04,3.71,21501,70.08,27.78,2.03,1411.3,8,931.6,0.0,0.0,1584.8,698.2,2675.27665108
Novo Horizonte,12952,128.39,-12.9409831,-38.439391,1008778.28,137175.72,13.56,32.1,1.09,52.93,0.32,8.04,8.35,8.98,8.46,53.87,9.73,2.57,3.8,4050,78.04,20.0,1.96,1196.4,8,1031.8,983.2,0.0,1584.8,0.0,2267.90971824
Dom Avelar,11842,154.55,-12.9300355,-38.4672117,766187.03,68715.99,15.3,25.77,1.02,57.67,0.22,7.06,7.43,8.12,7.65,52.13,13.17,4.44,3.88,3748,72.22,23.63,4.09,1174.8,3,0.0,0.0,0.0,0.0,0.0,2226.9645076799998
Boca do Rio,48032,177.67,-12.976667,-38.426944,2688000.39,248347.91,18.35,29.56,1.22,50.48,0.38,5.98,6.69,7.64,7.87,53.85,12.55,5.43,3.9,15728,68.81,27.11,3.62,1709.3,4,1017.4,856.0,0.0,0.0,0.0,3240.16890788
